# DistrPoint:Pointing with distractors
# MT:Movement time
# HIT:Success
# inPractice:practice block
# A:Target Amplitude
# W:Target Width
# D:Distractor Density
# HitDistractor:Press on a distractor
# HitBG:Press on background
# Mouse.x:
# Mouse.y:
# Mouse.Left:
# Date: 2013-03-22-11-33-24
# Participant: S0
block	trial	MT	HIT	inPractice	A	W	D	HitDistractor	HitBG	Mouse.x	Mouse.y	Mouse.Left	
Integer	String	String	Integer	Integer	String	Integer	Integer	Integer	Integer	Integer	
1	1	449	null	true	400	20	low	0	0	839.0	510.0	0.0
1	1	457	null	true	400	20	low	0	0	841.0	509.0	0.0
1	1	465	null	true	400	20	low	0	0	849.0	507.0	0.0
1	1	473	null	true	400	20	low	0	0	853.0	506.0	0.0
1	1	481	null	true	400	20	low	0	0	862.0	504.0	0.0
1	1	489	null	true	400	20	low	0	0	870.0	502.0	0.0
1	1	497	null	true	400	20	low	0	0	877.0	502.0	0.0
1	1	505	null	true	400	20	low	0	0	883.0	502.0	0.0
1	1	513	null	true	400	20	low	0	0	891.0	502.0	0.0
1	1	521	null	true	400	20	low	0	0	901.0	502.0	0.0
1	1	529	null	true	400	20	low	0	0	910.0	502.0	0.0
1	1	537	null	true	400	20	low	0	0	915.0	502.0	0.0
1	1	545	null	true	400	20	low	0	0	919.0	502.0	0.0
1	1	552	null	true	400	20	low	0	0	923.0	502.0	0.0
1	1	633	null	true	400	20	low	0	0	926.0	503.0	0.0
1	1	641	null	true	400	20	low	0	0	928.0	505.0	0.0
1	1	649	null	true	400	20	low	0	0	933.0	509.0	0.0
1	1	657	null	true	400	20	low	0	0	941.0	514.0	0.0
1	1	665	null	true	400	20	low	0	0	956.0	515.0	0.0
1	1	673	null	true	400	20	low	0	0	975.0	520.0	0.0
1	1	681	null	true	400	20	low	0	0	994.0	522.0	0.0
1	1	689	null	true	400	20	low	0	0	1003.0	524.0	0.0
1	1	697	null	true	400	20	low	0	0	1018.0	529.0	0.0
1	1	705	null	true	400	20	low	0	0	1033.0	534.0	0.0
1	1	713	null	true	400	20	low	0	0	1044.0	534.0	0.0
1	1	721	null	true	400	20	low	0	0	1049.0	534.0	0.0
1	1	729	null	true	400	20	low	0	0	1053.0	534.0	0.0
1	1	737	null	true	400	20	low	0	0	1055.0	534.0	0.0
1	1	833	null	true	400	20	low	0	0	1056.0	535.0	0.0
1	1	841	null	true	400	20	low	0	0	1056.0	537.0	0.0
1	1	849	null	true	400	20	low	0	0	1056.0	539.0	0.0
1	1	865	null	true	400	20	low	0	0	1056.0	541.0	0.0
1	1	881	null	true	400	20	low	0	0	1057.0	542.0	0.0
1	1	969	null	true	400	20	low	0	0	1055.0	542.0	0.0
1	1	977	null	true	400	20	low	0	0	1054.0	541.0	0.0
1	1	985	null	true	400	20	low	0	0	1054.0	539.0	0.0
1	1	993	null	true	400	20	low	0	0	1051.0	536.0	0.0
1	1	1001	null	true	400	20	low	0	0	1047.0	532.0	0.0
1	1	1009	null	true	400	20	low	0	0	1045.0	531.0	0.0
1	1	1017	null	true	400	20	low	0	0	1044.0	530.0	0.0
1	1	1025	null	true	400	20	low	0	0	1043.0	529.0	0.0
1	1	1033	null	true	400	20	low	0	0	1042.0	528.0	0.0
1	2	0	null	true	400	20	low	0	0	1042.0	528.0	1.0
1	2	103	null	true	400	20	low	0	0	1042.0	528.0	0.0
1	2	223	null	true	400	20	low	0	0	1041.0	527.0	0.0
1	2	231	null	true	400	20	low	0	0	1037.0	527.0	0.0
1	2	239	null	true	400	20	low	0	0	1028.0	527.0	0.0
1	2	247	null	true	400	20	low	0	0	995.0	524.0	0.0
1	2	255	null	true	400	20	low	0	0	952.0	519.0	0.0
1	2	263	null	true	400	20	low	0	0	909.0	512.0	0.0
1	2	271	null	true	400	20	low	0	0	884.0	505.0	0.0
1	2	279	null	true	400	20	low	0	0	843.0	494.0	0.0
1	2	287	null	true	400	20	low	0	0	804.0	479.0	0.0
1	2	295	null	true	400	20	low	0	0	775.0	466.0	0.0
1	2	303	null	true	400	20	low	0	0	760.0	457.0	0.0
1	2	311	null	true	400	20	low	0	0	741.0	448.0	0.0
1	2	319	null	true	400	20	low	0	0	734.0	443.0	0.0
1	2	326	null	true	400	20	low	0	0	734.0	438.0	0.0
1	2	335	null	true	400	20	low	0	0	735.0	437.0	0.0
1	2	343	null	true	400	20	low	0	0	739.0	435.0	0.0
1	2	351	null	true	400	20	low	0	0	745.0	432.0	0.0
1	2	359	null	true	400	20	low	0	0	752.0	429.0	0.0
1	2	367	null	true	400	20	low	0	0	754.0	427.0	0.0
1	2	375	null	true	400	20	low	0	0	755.0	426.0	0.0
1	2	383	null	true	400	20	low	0	0	756.0	425.0	0.0
1	2	407	null	true	400	20	low	0	0	756.0	423.0	0.0
1	2	415	null	true	400	20	low	0	0	755.0	421.0	0.0
1	2	423	null	true	400	20	low	0	0	753.0	419.0	0.0
1	2	431	null	true	400	20	low	0	0	752.0	417.0	0.0
1	2	439	null	true	400	20	low	0	0	751.0	416.0	0.0
1	2	447	null	true	400	20	low	0	0	749.0	415.0	0.0
1	2	455	null	true	400	20	low	0	0	748.0	413.0	0.0
1	2	463	null	true	400	20	low	0	0	748.0	411.0	0.0
1	2	471	null	true	400	20	low	0	0	747.0	410.0	0.0
1	2	479	null	true	400	20	low	0	0	745.0	409.0	0.0
1	2	487	null	true	400	20	low	0	0	744.0	407.0	0.0
1	2	495	null	true	400	20	low	0	0	742.0	405.0	0.0
1	2	503	null	true	400	20	low	0	0	741.0	403.0	0.0
1	2	511	null	true	400	20	low	0	0	737.0	397.0	0.0
1	2	519	null	true	400	20	low	0	0	728.0	390.0	0.0
1	2	527	null	true	400	20	low	0	0	720.0	384.0	0.0
1	2	535	null	true	400	20	low	0	0	716.0	384.0	0.0
1	2	543	null	true	400	20	low	0	0	712.0	382.0	0.0
1	2	551	null	true	400	20	low	0	0	709.0	380.0	0.0
1	2	567	null	true	400	20	low	0	0	708.0	379.0	0.0
1	2	599	null	true	400	20	low	0	0	706.0	379.0	0.0
1	2	719	null	true	400	20	low	0	0	704.0	379.0	0.0
1	2	727	null	true	400	20	low	0	0	703.0	380.0	0.0
1	2	735	null	true	400	20	low	0	0	702.0	381.0	0.0
1	2	743	null	true	400	20	low	0	0	701.0	382.0	0.0
1	2	751	null	true	400	20	low	0	0	700.0	383.0	0.0
1	2	759	null	true	400	20	low	0	0	698.0	384.0	0.0
1	2	783	null	true	400	20	low	0	0	696.0	385.0	0.0
1	3	0	null	true	400	20	low	0	0	696.0	385.0	1.0
1	3	79	null	true	400	20	low	0	0	696.0	385.0	0.0
1	3	143	null	true	400	20	low	0	0	699.0	385.0	0.0
1	3	151	null	true	400	20	low	0	0	702.0	386.0	0.0
1	3	159	null	true	400	20	low	0	0	711.0	392.0	0.0
1	3	167	null	true	400	20	low	0	0	719.0	396.0	0.0
1	3	175	null	true	400	20	low	0	0	731.0	405.0	0.0
1	3	183	null	true	400	20	low	0	0	744.0	420.0	0.0
